Dates;Open;Close;High;Low
12/07/2012 10:03:00;18,3;18,3;18,35;18,28
12/07/2012 10:04:00;18,3;18,3;18,3;18,28
12/07/2012 10:05:00;18,3;18,25;18,34;18,25
12/07/2012 10:06:00;18,24;18,2;18,24;18,2
12/07/2012 10:07:00;18,21;18,24;18,24;18,21
12/07/2012 10:08:00;18,24;18,24;18,26;18,22
12/07/2012 10:09:00;18,25;18,22;18,27;18,22
12/07/2012 10:10:00;18,24;18,23;18,24;18,22
12/07/2012 10:11:00;18,23;18,26;18,26;18,23
12/07/2012 10:12:00;18,26;18,25;18,26;18,23
12/07/2012 10:13:00;18,25;18,26;18,26;18,23
12/07/2012 10:14:00;18,26;18,26;18,26;18,24
12/07/2012 10:15:00;18,26;18,24;18,26;18,24
12/07/2012 10:16:00;18,25;18,27;18,28;18,25
12/07/2012 10:17:00;18,27;18,25;18,27;18,25
12/07/2012 10:18:00;18,25;18,23;18,27;18,23
12/07/2012 10:19:00;18,22;18,18;18,22;18,18
12/07/2012 10:20:00;18,17;18,19;18,2;18,17
12/07/2012 10:21:00;18,21;18,22;18,22;18,19
12/07/2012 10:22:00;18,23;18,23;18,24;18,22
12/07/2012 10:23:00;18,24;18,21;18,24;18,21
12/07/2012 10:24:00;18,21;18,19;18,22;18,18
12/07/2012 10:25:00;18,18;18,14;18,2;18,13
12/07/2012 10:26:00;18,14;18,16;18,17;18,13
12/07/2012 10:27:00;18,17;18,15;18,19;18,14
12/07/2012 10:28:00;18,15;18,14;18,16;18,13
12/07/2012 10:29:00;18,15;18,16;18,17;18,13
12/07/2012 10:30:00;18,16;18,16;18,18;18,15
12/07/2012 10:31:00;18,16;18,13;18,16;18,13
12/07/2012 10:32:00;18,13;18,12;18,14;18,11
12/07/2012 10:33:00;18,13;18,13;18,14;18,11
12/07/2012 10:34:00;18,13;18,13;18,14;18,11
12/07/2012 10:35:00;18,13;18,06;18,13;18,06
12/07/2012 10:36:00;18,08;18,1;18,11;18,05
12/07/2012 10:37:00;18,09;18,08;18,1;18,06
12/07/2012 10:38:00;18,08;18,13;18,13;18,07
12/07/2012 10:39:00;18,13;18,11;18,13;18,09
12/07/2012 10:40:00;18,11;18,12;18,12;18,1
12/07/2012 10:41:00;18,13;18,08;18,13;18,08
12/07/2012 10:42:00;18,08;18,09;18,1;18,05
12/07/2012 10:43:00;18,09;18,1;18,13;18,08
12/07/2012 10:44:00;18,1;18,09;18,11;18,08
12/07/2012 10:45:00;18,08;18,07;18,08;18,05
12/07/2012 10:46:00;18,07;18,06;18,08;18,06
12/07/2012 10:47:00;18,05;18,08;18,08;18,04
12/07/2012 10:48:00;18,07;18,09;18,09;18,04
12/07/2012 10:49:00;18,09;18,08;18,1;18,08
12/07/2012 10:50:00;18,08;18,07;18,08;18,07
12/07/2012 10:51:00;18,07;18,07;18,08;18,06
12/07/2012 10:52:00;18,07;18,09;18,09;18,07
12/07/2012 10:53:00;18,09;18,1;18,11;18,07
12/07/2012 10:54:00;18,09;18,08;18,1;18,08
12/07/2012 10:55:00;18,09;18,1;18,12;18,08
12/07/2012 10:56:00;18,09;18,08;18,11;18,08
12/07/2012 10:57:00;18,08;18,12;18,14;18,08
12/07/2012 10:58:00;18,12;18,1;18,12;18,1
12/07/2012 10:59:00;18,1;18,14;18,14;18,1
12/07/2012 11:00:00;18,14;18,12;18,16;18,1
12/07/2012 11:01:00;18,13;18,15;18,16;18,12
12/07/2012 11:02:00;18,16;18,15;18,17;18,15
12/07/2012 11:03:00;18,14;18,16;18,16;18,14
12/07/2012 11:04:00;18,16;18,15;18,16;18,15
12/07/2012 11:05:00;18,15;18,16;18,16;18,15
12/07/2012 11:06:00;18,16;18,15;18,16;18,15
12/07/2012 11:07:00;18,16;18,17;18,18;18,15
12/07/2012 11:08:00;18,17;18,17;18,18;18,15
12/07/2012 11:09:00;18,16;18,16;18,18;18,15
12/07/2012 11:10:00;18,16;18,17;18,18;18,15
12/07/2012 11:11:00;18,16;18,16;18,16;18,14
12/07/2012 11:12:00;18,16;18,17;18,17;18,16
12/07/2012 11:13:00;18,17;18,18;18,19;18,17
12/07/2012 11:14:00;18,17;18,17;18,2;18,16
12/07/2012 11:15:00;18,17;18,17;18,18;18,16
12/07/2012 11:16:00;18,18;18,16;18,18;18,16
12/07/2012 11:17:00;18,17;18,17;18,18;18,16
12/07/2012 11:18:00;18,17;18,16;18,17;18,14
12/07/2012 11:19:00;18,16;18,16;18,17;18,15
